"bank_id","species","common_name"
3157,"Acantharchus pomotis","Mud Sunfish"
6033,"Acantharchus pomotis","Mud Sunfish"
6356,"Acantharchus pomotis","Mud Sunfish"
5935,"Acantharchus pomotis","Mud Sunfish"
5508,"Acantharchus pomotis","Mud Sunfish"
6100,"Acantharchus pomotis","Mud Sunfish"
634,"Acantharchus pomotis","Mud Sunfish"
579,"Acantharchus pomotis","Mud Sunfish"
1442,"Acantharchus pomotis","Mud Sunfish"
475,"Acantharchus pomotis","Mud Sunfish"
2676,"Acantharchus pomotis","Mud Sunfish"
777,"Acantharchus pomotis","Mud Sunfish"
476,"Acantharchus pomotis","Mud Sunfish"
6699,"Acantharchus pomotis","Mud Sunfish"
3064,"Acantharchus pomotis","Mud Sunfish"
3286,"Acantharchus pomotis","Mud Sunfish"
1231,"Acantharchus pomotis","Mud Sunfish"
636,"Acantharchus pomotis","Mud Sunfish"
1864,"Acantharchus pomotis","Mud Sunfish"
637,"Acantharchus pomotis","Mud Sunfish"
6542,"Acantharchus pomotis","Mud Sunfish"
1179,"Acantharchus pomotis","Mud Sunfish"
4616,"Acantharchus pomotis","Mud Sunfish"
5752,"Acantharchus pomotis","Mud Sunfish"
5135,"Acantharchus pomotis","Mud Sunfish"
5292,"Acantharchus pomotis","Mud Sunfish"
1069,"Acantharchus pomotis","Mud Sunfish"
3485,"Acantharchus pomotis","Mud Sunfish"
5018,"Acantharchus pomotis","Mud Sunfish"
4412,"Acantharchus pomotis","Mud Sunfish"
3527,"Acantharchus pomotis","Mud Sunfish"
5460,"Acantharchus pomotis","Mud Sunfish"
1070,"Acantharchus pomotis","Mud Sunfish"
3399,"Acantharchus pomotis","Mud Sunfish"
2856,"Acantharchus pomotis","Mud Sunfish"
4413,"Acantharchus pomotis","Mud Sunfish"
2851,"Acantharchus pomotis","Mud Sunfish"
2855,"Acantharchus pomotis","Mud Sunfish"
2861,"Acantharchus pomotis","Mud Sunfish"
4414,"Acantharchus pomotis","Mud Sunfish"
2862,"Acantharchus pomotis","Mud Sunfish"
4415,"Acantharchus pomotis","Mud Sunfish"
4416,"Acantharchus pomotis","Mud Sunfish"
3520,"Acantharchus pomotis","Mud Sunfish"
4530,"Acantharchus pomotis","Mud Sunfish"
4508,"Acantharchus pomotis","Mud Sunfish"
2863,"Acantharchus pomotis","Mud Sunfish"
2864,"Acantharchus pomotis","Mud Sunfish"
5913,"Acantharchus pomotis","Mud Sunfish"
4417,"Acantharchus pomotis","Mud Sunfish"
2865,"Acantharchus pomotis","Mud Sunfish"
1073,"Acantharchus pomotis","Mud Sunfish"
6315,"Acantharchus pomotis","Mud Sunfish"
5159,"Acantharchus pomotis","Mud Sunfish"
5158,"Acantharchus pomotis","Mud Sunfish"
1052,"Acantharchus pomotis","Mud Sunfish"
1051,"Acantharchus pomotis","Mud Sunfish"
4656,"Acantharchus pomotis","Mud Sunfish"
4584,"Acantharchus pomotis","Mud Sunfish"
6179,"Acantharchus pomotis","Mud Sunfish"
2479,"Acantharchus pomotis","Mud Sunfish"
5527,"Acantharchus pomotis","Mud Sunfish"
583,"Acantharchus pomotis","Mud Sunfish"
1485,"Acantharchus pomotis","Mud Sunfish"
584,"Acantharchus pomotis","Mud Sunfish"
5840,"Acantharchus pomotis","Mud Sunfish"
2118,"Acantharchus pomotis","Mud Sunfish"
7268,"Acantharchus pomotis","Mud Sunfish"
1745,"Acantharchus pomotis","Mud Sunfish"
6997,"Acantharchus pomotis","Mud Sunfish"
5502,"Acantharchus pomotis","Mud Sunfish"
