bank_id,centroid
7304,"c(-90.9951104480915, 29.9779088619272)"
3631,"c(-110.597632, 31.79557)"
2948,"c(-106.3182, 39.156)"
5118,"c(-92.425536, 38.912986)"
1891,"c(-84.594294, 33.524337)"
4521,"c(-79.8113, 36.0786)"
1228,"c(-124.149095182036, 46.9810004033694)"
4627,"c(-78.3853, 35.8487)"
4628,"c(-78.38363, 35.8588)"
3314,"c(-123.70018, 46.088514)"
6750,"c(-75.7908940553387, 39.8086755041366)"
2158,"c(-121.174335698636, 38.3609671940322)"
360,"c(-93.0652662170086, 30.4835905546344)"
6047,"c(-91.636857, 41.69755)"
4563,"c(-123.9426, 46.1728)"
6180,"c(-78.2373245252189, 35.5914291795324)"
7319,"c(-78.369026, 35.41363)"
5848,"c(-78.348818, 35.420092)"
5682,"c(-78.3695, 35.4204)"
6856,"c(-79.893158, 35.828337)"
6036,"c(-84.0950661548379, 38.8117161563019)"
6479,"c(-82.7168239066656, 40.4098106565882)"
1488,"c(-84.3964553883168, 33.4712122805255)"
2966,"c(-80.963936, 39.359713)"
5721,"c(-95.636352, 35.651613)"
6585,"c(-88.943725, 35.386573)"
6709,"c(-77.6927592727125, 38.8113952471043)"
5151,"c(-81.9751, 37.9566)"
875,"c(-81.0738390396433, 32.1208815156653)"
1180,"c(-76.492406, 37.923611)"
6119,"c(-97.1134333291811, 28.0295400108049)"
693,"c(-95.6228504326199, 28.9576014323586)"
527,"c(-84.189674, 34.5134)"
1482,"c(-86.010075, 35.474511)"
229,"c(-80.9942479738413, 28.7245982204521)"
3112,"c(-118.671369, 34.095102)"
78,"c(-119.303949968418, 35.2675578908177)"
2097,"c(-81.4402439960545, 27.8779825832334)"
2598,"c(-81.4368559669948, 27.8776456764589)"
3111,"c(-118.134029, 33.77103)"
2514,"c(-106.41774, 40.05217)"
3450,"c(-116.545321, 33.830367)"
2641,"c(-95.4716541547174, 29.1777473430847)"
1127,"c(-122.714712, 45.651615)"
2637,"c(-122.019901431565, 39.1065257205178)"
7241,"c(-97.6054144856336, 29.8385073852349)"
1225,"c(-91.0465169190513, 30.64864255147)"
1226,"c(-91.0669025436276, 30.659225677304)"
1136,"c(-82.986389, 32.827778)"
5378,"c(-84.8526, 34.8313)"
489,"c(-84.93611, 34.65416)"
3002,"c(-80.1034364935892, 41.8363091259691)"
742,"c(-79.7353082836314, 32.965996681286)"
792,"c(-81.2284946846509, 33.8838922933951)"
6873,"c(-76.201795, 39.870739)"
6611,"c(-77.494, 39.188)"
5974,"c(-79.937258, 33.03221)"
520,"c(-85.27778, 34.15694)"
5578,"c(-86.5239585383969, 33.1268864411847)"
1845,"c(-85.417047, 34.129415)"
6708,"c(-80.1280133139015, 37.0969284898517)"
3046,"c(-82.1053775870976, 37.8197631043265)"
110,"c(-81.6355818114935, 26.4579074142643)"
3588,"c(-81.1646794196981, 34.0281153944978)"
2333,"c(-116.759808633018, 32.5761099254183)"
2334,"c(-117.108, 33.069)"
2335,"c(-116.928, 32.628)"
2336,"c(-116.919, 32.925)"
4732,"c(-121.41799693002, 38.2482047310454)"
1077,"c(-93.363497, 32.871084)"
147,"c(-122.220744, 40.393305)"
2990,"c(-97.4769002276061, 30.4177993344599)"
6951,"c(-92.419926, 40.295601)"
1112,"c(-93.43, 42.71)"
1109,"c(-96.01, 41.6)"
1110,"c(-96.01, 41.57)"
6322,"c(-92.644349, 41.154036)"
6021,"c(-77.612815, 39.023216)"
554,"c(-77.8784997719927, 37.3963803678661)"
2639,"c(-92.9208869594728, 30.4579275633337)"
5773,"c(-90.286562, 30.407788)"
6264,"c(-90.30079, 30.410673)"
5637,"c(-82.7734836095577, 29.8453527548538)"
6120,"c(-94.6288206962707, 29.9334209499129)"
705,"c(-81.1136111111111, 36.7363888888889)"
3377,"c(-78.7615278159932, 33.9634088802837)"
1738,"c(-88.922, 37.713)"
4580,"c(-90.8669956388401, 38.3769109471998)"
5436,"c(-82.111089, 40.061346)"
753,"c(-89.4286214679453, 30.7284635461769)"
4376,"c(-81, 34)"
2772,"c(-93.459269, 36.8786)"
609,"c(-76.8098980193369, 37.3486939431104)"
553,"c(-76.0044416259912, 36.6012882772432)"
2554,"c(-83.2587622318676, 37.1535839964457)"
2555,"c(-83.6830900694502, 37.517650614945)"
2556,"c(-83.6837673331131, 37.5231748820072)"
2557,"c(-83.5204720622408, 37.5689546585598)"
1736,"c(-83.2919205076033, 38.01991746405)"
1735,"c(-83.287495672206, 38.0110723995256)"
1737,"c(-83.3517173243494, 37.8271578589524)"
4938,"c(-87.3273712578019, 37.2081816998682)"
